_id,Station ID,Station Name,Direction,MTO Region,Highway or Road,Location Description,Day of Week Number,Hour,Single,Multi,Auto,total_trucks,Total vehicles
6380,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,19,0,2,117,2,119
6381,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,20,1,1,77,2,79
6382,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,21,4,2,76,5,81
6383,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,22,0,1,44,1,45
6384,ON0125,Glen Tay (West/Ouest: Ottawa - Peterborough),West,Eastern,Hwy 7,"On Highway 7, between Glen Tay Rd & Lanark County Rd 36, 4.4 km west of Lanark Rd 511 west of Perth",7,23,2,1,36,3,39
6385,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,0,1,5,112,6,118
6386,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,1,4,7,96,12,108
6387,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,2,2,4,62,6,68
6388,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,3,2,7,30,8,38
6389,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,4,2,9,28,11,38
